pair_index,answer_json,test_json,point,raw_error,w0_error,w0.2_error,w0.4_error,w0.65_error,w0.8_error,w1_error,best_weight,best_error
0,20260616_191345_733_landmarks.json,20260616_112730_748_landmarks.json,left_eye,19.15,19.15,18.934,18.766,18.628,18.584,18.57,1,18.57
0,20260616_191345_733_landmarks.json,20260616_112730_748_landmarks.json,right_eye,27.206,27.206,26.182,25.22,24.116,23.513,22.784,1,22.784
0,20260616_191345_733_landmarks.json,20260616_112730_748_landmarks.json,nose_tip,17.289,17.289,17.289,17.289,17.289,17.289,17.289,0,17.289
0,20260616_191345_733_landmarks.json,20260616_112730_748_landmarks.json,mouth_left,36.531,36.531,33.714,31.038,27.951,26.276,24.306,1,24.306
0,20260616_191345_733_landmarks.json,20260616_112730_748_landmarks.json,mouth_right,22.259,22.259,20.936,19.905,19.099,18.9,18.981,0.8,18.9
0,20260616_191345_733_landmarks.json,20260616_112730_748_landmarks.json,mouth_center,11.439,11.439,11.371,11.69,12.585,13.345,14.565,0.2,11.371
0,20260616_191345_733_landmarks.json,20260616_112730_748_landmarks.json,chin,42.499,42.499,42.338,42.18,41.986,41.871,41.721,1,41.721
0,20260616_191345_733_landmarks.json,20260616_112730_748_landmarks.json,clothing_start,26.893,26.893,25.555,24.593,23.989,23.965,24.331,0.8,23.965
1,20260616_191359_207_landmarks.json,20260616_130403_238_landmarks.json,left_eye,10.657,10.657,9.752,8.85,7.729,7.061,6.178,1,6.178
1,20260616_191359_207_landmarks.json,20260616_130403_238_landmarks.json,right_eye,10.359,10.359,9.566,8.96,8.528,8.464,8.614,0.8,8.464
1,20260616_191359_207_landmarks.json,20260616_130403_238_landmarks.json,nose_tip,9.84,9.84,9.84,9.84,9.84,9.84,9.84,0,9.84
1,20260616_191359_207_landmarks.json,20260616_130403_238_landmarks.json,mouth_left,18.529,18.529,17.424,16.894,17.115,17.709,18.973,0.4,16.894
1,20260616_191359_207_landmarks.json,20260616_130403_238_landmarks.json,mouth_right,14.508,14.508,14.455,14.853,15.93,16.839,18.297,0.2,14.455
1,20260616_191359_207_landmarks.json,20260616_130403_238_landmarks.json,mouth_center,9.755,9.755,10.345,11.256,12.738,13.765,15.25,0,9.755
1,20260616_191359_207_landmarks.json,20260616_130403_238_landmarks.json,chin,33.715,33.715,33.744,33.776,33.821,33.85,33.893,0,33.715
1,20260616_191359_207_landmarks.json,20260616_130403_238_landmarks.json,clothing_start,82.25,82.25,85.295,88.345,92.161,94.454,97.513,0,82.25
2,20260616_191410_398_landmarks.json,20260616_130423_154_landmarks.json,left_eye,7.193,7.193,6.375,5.581,4.639,4.116,3.499,1,3.499
2,20260616_191410_398_landmarks.json,20260616_130423_154_landmarks.json,right_eye,1.251,1.251,1.834,3.08,4.82,5.892,7.337,0,1.251
2,20260616_191410_398_landmarks.json,20260616_130423_154_landmarks.json,nose_tip,7.187,7.187,7.187,7.187,7.187,7.187,7.187,0,7.187
2,20260616_191410_398_landmarks.json,20260616_130423_154_landmarks.json,mouth_left,30.58,30.58,28.524,26.69,24.786,23.89,23.029,1,23.029
2,20260616_191410_398_landmarks.json,20260616_130423_154_landmarks.json,mouth_right,6.692,6.692,6.874,7.883,9.912,11.368,13.469,0,6.692
2,20260616_191410_398_landmarks.json,20260616_130423_154_landmarks.json,mouth_center,4.204,4.204,4.016,4.684,6.289,7.459,9.139,0.2,4.016
2,20260616_191410_398_landmarks.json,20260616_130423_154_landmarks.json,chin,1.661,1.661,1.595,1.598,1.696,1.8,1.979,0.2,1.595
2,20260616_191410_398_landmarks.json,20260616_130423_154_landmarks.json,clothing_start,30.074,30.074,27.07,24.068,20.32,18.074,15.086,1,15.086
3,20260616_191424_236_landmarks.json,20260616_172144_621_landmarks.json,left_eye,15.895,15.895,15.751,15.647,15.575,15.562,15.581,0.8,15.562
3,20260616_191424_236_landmarks.json,20260616_172144_621_landmarks.json,right_eye,15.239,15.239,16.094,17.009,18.222,18.982,20.027,0,15.239
3,20260616_191424_236_landmarks.json,20260616_172144_621_landmarks.json,nose_tip,14.86,14.86,14.86,14.86,14.86,14.86,14.86,0,14.86
3,20260616_191424_236_landmarks.json,20260616_172144_621_landmarks.json,mouth_left,15.29,15.29,12.718,10.299,7.711,6.616,6.095,1,6.095
3,20260616_191424_236_landmarks.json,20260616_172144_621_landmarks.json,mouth_right,23.85,23.85,23.853,24.066,24.617,25.092,25.882,0,23.85
3,20260616_191424_236_landmarks.json,20260616_172144_621_landmarks.json,mouth_center,14.717,14.717,13.081,11.469,9.51,8.38,6.961,1,6.961
3,20260616_191424_236_landmarks.json,20260616_172144_621_landmarks.json,chin,52.21,52.21,52.219,52.229,52.244,52.255,52.27,0,52.21
3,20260616_191424_236_landmarks.json,20260616_172144_621_landmarks.json,clothing_start,41.942,41.942,39.271,36.605,33.281,31.293,28.65,1,28.65
4,20260616_191437_196_landmarks.json,20260616_172338_815_landmarks.json,left_eye,14.746,14.746,15.243,15.766,16.451,16.876,17.46,0,14.746
4,20260616_191437_196_landmarks.json,20260616_172338_815_landmarks.json,right_eye,20.471,20.471,20.054,19.715,19.41,19.292,19.212,1,19.212
4,20260616_191437_196_landmarks.json,20260616_172338_815_landmarks.json,nose_tip,11.202,11.202,11.202,11.202,11.202,11.202,11.202,0,11.202
4,20260616_191437_196_landmarks.json,20260616_172338_815_landmarks.json,mouth_left,2.488,2.488,2.019,4.264,7.656,9.749,12.562,0.2,2.019
4,20260616_191437_196_landmarks.json,20260616_172338_815_landmarks.json,mouth_right,14.575,14.575,16.798,19.024,21.806,23.477,25.704,0,14.575
4,20260616_191437_196_landmarks.json,20260616_172338_815_landmarks.json,mouth_center,6.086,6.086,7.63,9.235,11.287,12.533,14.205,0,6.086
4,20260616_191437_196_landmarks.json,20260616_172338_815_landmarks.json,chin,10.514,10.514,10.576,10.647,10.746,10.811,10.905,0,10.514
4,20260616_191437_196_landmarks.json,20260616_172338_815_landmarks.json,clothing_start,78.923,78.923,76.348,73.781,70.586,68.677,66.142,1,66.142
5,20260616_191451_834_landmarks.json,20260616_172836_419_landmarks.json,left_eye,7.522,7.522,6.908,6.351,5.76,5.476,5.199,1,5.199
5,20260616_191451_834_landmarks.json,20260616_172836_419_landmarks.json,right_eye,3.735,3.735,4.689,5.833,7.395,8.372,9.702,0,3.735
5,20260616_191451_834_landmarks.json,20260616_172836_419_landmarks.json,nose_tip,4.145,4.145,4.145,4.145,4.145,4.145,4.145,0,4.145
5,20260616_191451_834_landmarks.json,20260616_172836_419_landmarks.json,mouth_left,13.404,13.404,15.893,18.554,22.028,24.163,27.052,0,13.404
5,20260616_191451_834_landmarks.json,20260616_172836_419_landmarks.json,mouth_right,5.634,5.634,6.786,8.477,10.968,12.569,14.774,0,5.634
5,20260616_191451_834_landmarks.json,20260616_172836_419_landmarks.json,mouth_center,7.498,7.498,9.334,11.172,13.473,14.854,16.695,0,7.498
5,20260616_191451_834_landmarks.json,20260616_172836_419_landmarks.json,chin,28.503,28.503,28.501,28.504,28.512,28.519,28.532,0.2,28.501
5,20260616_191451_834_landmarks.json,20260616_172836_419_landmarks.json,clothing_start,5.107,5.107,2.216,0.719,4.314,6.485,9.38,0.4,0.719
6,20260616_191505_768_landmarks.json,20260616_173121_811_landmarks.json,left_eye,4.041,4.041,3.53,3.149,2.933,2.968,3.2,0.65,2.933
6,20260616_191505_768_landmarks.json,20260616_173121_811_landmarks.json,right_eye,5.916,5.916,7.228,8.55,10.208,11.205,12.537,0,5.916
6,20260616_191505_768_landmarks.json,20260616_173121_811_landmarks.json,nose_tip,5.676,5.676,5.676,5.676,5.676,5.676,5.676,0,5.676
6,20260616_191505_768_landmarks.json,20260616_173121_811_landmarks.json,mouth_left,11.527,11.527,13.734,16.162,19.38,21.374,24.082,0,11.527
6,20260616_191505_768_landmarks.json,20260616_173121_811_landmarks.json,mouth_right,10.343,10.343,12.511,14.709,17.484,19.157,21.396,0,10.343
6,20260616_191505_768_landmarks.json,20260616_173121_811_landmarks.json,mouth_center,8.095,8.095,9.79,11.5,13.652,14.947,16.678,0,8.095
6,20260616_191505_768_landmarks.json,20260616_173121_811_landmarks.json,chin,20.207,20.207,20.241,20.28,20.334,20.37,20.422,0,20.207
6,20260616_191505_768_landmarks.json,20260616_173121_811_landmarks.json,clothing_start,38.943,38.943,36.291,33.653,30.383,28.438,25.873,1,25.873
7,20260616_191519_382_landmarks.json,20260616_173142_589_landmarks.json,left_eye,14.928,14.928,14.83,14.782,14.794,14.84,14.945,0.4,14.782
7,20260616_191519_382_landmarks.json,20260616_173142_589_landmarks.json,right_eye,15.756,15.756,15.694,15.763,16.03,16.283,16.722,0.2,15.694
7,20260616_191519_382_landmarks.json,20260616_173142_589_landmarks.json,nose_tip,6.114,6.114,6.114,6.114,6.114,6.114,6.114,0,6.114
7,20260616_191519_382_landmarks.json,20260616_173142_589_landmarks.json,mouth_left,22.65,22.65,21.218,20.164,19.473,19.422,19.783,0.8,19.422
7,20260616_191519_382_landmarks.json,20260616_173142_589_landmarks.json,mouth_right,14.507,14.507,15.311,16.438,18.208,19.421,21.174,0,14.507
7,20260616_191519_382_landmarks.json,20260616_173142_589_landmarks.json,mouth_center,7.567,7.567,9.415,11.27,13.594,14.99,16.852,0,7.567
