pair_index,answer_json,test_json,point,raw_error,w0_error,w0.2_error,w0.4_error,w0.65_error,w0.8_error,w1_error,best_weight,best_error
0,20260616_112730_748_landmarks.json,20260616_191345_733_landmarks.json,left_eye,8.068,8.068,9.283,10.726,12.734,14.009,15.767,0,8.068
0,20260616_112730_748_landmarks.json,20260616_191345_733_landmarks.json,right_eye,13.704,13.704,15.439,17.2,19.427,20.774,22.579,0,13.704
0,20260616_112730_748_landmarks.json,20260616_191345_733_landmarks.json,nose_tip,8.127,8.127,8.127,8.127,8.127,8.127,8.127,0,8.127
0,20260616_112730_748_landmarks.json,20260616_191345_733_landmarks.json,mouth_left,42.228,42.228,42.598,42.968,43.43,43.708,44.078,0,42.228
0,20260616_112730_748_landmarks.json,20260616_191345_733_landmarks.json,mouth_right,34.764,34.764,35.098,35.431,35.848,36.098,36.432,0,34.764
0,20260616_112730_748_landmarks.json,20260616_191345_733_landmarks.json,mouth_center,27.295,27.295,27.499,27.713,27.998,28.177,28.424,0,27.295
0,20260616_112730_748_landmarks.json,20260616_191345_733_landmarks.json,chin,69.385,69.385,70.555,71.726,73.192,74.072,75.247,0,69.385
0,20260616_112730_748_landmarks.json,20260616_191345_733_landmarks.json,clothing_start,88.228,88.228,82.163,76.11,68.564,64.049,58.052,1,58.052
1,20260616_130403_238_landmarks.json,20260616_191359_207_landmarks.json,left_eye,9.028,9.028,9.188,9.724,10.835,11.685,12.976,0,9.028
1,20260616_130403_238_landmarks.json,20260616_191359_207_landmarks.json,right_eye,3.468,3.468,5.235,7.013,9.241,10.579,12.365,0,3.468
1,20260616_130403_238_landmarks.json,20260616_191359_207_landmarks.json,nose_tip,4.569,4.569,4.569,4.569,4.569,4.569,4.569,0,4.569
1,20260616_130403_238_landmarks.json,20260616_191359_207_landmarks.json,mouth_left,19.162,19.162,19.371,19.586,19.86,20.027,20.255,0,19.162
1,20260616_130403_238_landmarks.json,20260616_191359_207_landmarks.json,mouth_right,10.12,10.12,10.421,10.725,11.106,11.336,11.644,0,10.12
1,20260616_130403_238_landmarks.json,20260616_191359_207_landmarks.json,mouth_center,11.691,11.691,11.648,11.633,11.654,11.689,11.76,0.4,11.633
1,20260616_130403_238_landmarks.json,20260616_191359_207_landmarks.json,chin,12.241,12.241,11.081,9.92,8.47,7.601,6.442,1,6.442
1,20260616_130403_238_landmarks.json,20260616_191359_207_landmarks.json,clothing_start,55.547,55.547,61.394,67.25,74.579,78.981,84.854,0,55.547
2,20260616_130423_154_landmarks.json,20260616_191410_398_landmarks.json,left_eye,16.694,16.694,18.445,20.234,22.507,23.888,25.743,0,16.694
2,20260616_130423_154_landmarks.json,20260616_191410_398_landmarks.json,right_eye,14.441,14.441,16.217,18.006,20.254,21.608,23.418,0,14.441
2,20260616_130423_154_landmarks.json,20260616_191410_398_landmarks.json,nose_tip,6.001,6.001,6.001,6.001,6.001,6.001,6.001,0,6.001
2,20260616_130423_154_landmarks.json,20260616_191410_398_landmarks.json,mouth_left,34.97,34.97,35.183,35.399,35.672,35.838,36.061,0,34.97
2,20260616_130423_154_landmarks.json,20260616_191410_398_landmarks.json,mouth_right,8.015,8.015,8.255,8.501,8.818,9.013,9.277,0,8.015
2,20260616_130423_154_landmarks.json,20260616_191410_398_landmarks.json,mouth_center,7.94,7.94,7.847,7.799,7.801,7.837,7.923,0.4,7.799
2,20260616_130423_154_landmarks.json,20260616_191410_398_landmarks.json,chin,9.519,9.519,8.514,7.564,6.492,5.936,5.341,1,5.341
2,20260616_130423_154_landmarks.json,20260616_191410_398_landmarks.json,clothing_start,29.171,29.171,23.852,18.985,14.255,12.805,13.267,0.8,12.805
3,20260616_172144_621_landmarks.json,20260616_191424_236_landmarks.json,left_eye,9.932,9.932,9.819,10.063,10.831,11.5,12.586,0.2,9.819
3,20260616_172144_621_landmarks.json,20260616_191424_236_landmarks.json,right_eye,9.887,9.887,11.635,13.389,15.587,16.908,18.672,0,9.887
3,20260616_172144_621_landmarks.json,20260616_191424_236_landmarks.json,nose_tip,3.446,3.446,3.446,3.446,3.446,3.446,3.446,0,3.446
3,20260616_172144_621_landmarks.json,20260616_191424_236_landmarks.json,mouth_left,23.041,23.041,23.403,23.764,24.216,24.487,24.849,0,23.041
3,20260616_172144_621_landmarks.json,20260616_191424_236_landmarks.json,mouth_right,30.566,30.566,30.825,31.087,31.415,31.613,31.878,0,30.566
3,20260616_172144_621_landmarks.json,20260616_191424_236_landmarks.json,mouth_center,16.651,16.651,16.899,17.163,17.514,17.734,18.041,0,16.651
3,20260616_172144_621_landmarks.json,20260616_191424_236_landmarks.json,chin,24.883,24.883,26.034,27.185,28.624,29.487,30.638,0,24.883
3,20260616_172144_621_landmarks.json,20260616_191424_236_landmarks.json,clothing_start,27.582,27.582,32.841,38.271,45.204,49.416,55.073,0,27.582
4,20260616_172338_815_landmarks.json,20260616_191437_196_landmarks.json,left_eye,8.038,8.038,9.428,10.927,12.897,14.113,15.761,0,8.038
4,20260616_172338_815_landmarks.json,20260616_191437_196_landmarks.json,right_eye,8.107,8.107,9.761,11.417,13.489,14.734,16.393,0,8.107
4,20260616_172338_815_landmarks.json,20260616_191437_196_landmarks.json,nose_tip,8.162,8.162,8.162,8.162,8.162,8.162,8.162,0,8.162
4,20260616_172338_815_landmarks.json,20260616_191437_196_landmarks.json,mouth_left,31.017,31.017,31.342,31.667,32.074,32.319,32.645,0,31.017
4,20260616_172338_815_landmarks.json,20260616_191437_196_landmarks.json,mouth_right,20.756,20.756,21.065,21.374,21.76,21.992,22.301,0,20.756
4,20260616_172338_815_landmarks.json,20260616_191437_196_landmarks.json,mouth_center,25.847,25.847,25.944,26.052,26.202,26.3,26.439,0,25.847
4,20260616_172338_815_landmarks.json,20260616_191437_196_landmarks.json,chin,36.465,36.465,37.488,38.514,39.8,40.574,41.608,0,36.465
4,20260616_172338_815_landmarks.json,20260616_191437_196_landmarks.json,clothing_start,80.081,80.081,74.609,69.138,62.303,58.203,52.741,1,52.741
5,20260616_172836_419_landmarks.json,20260616_191451_834_landmarks.json,left_eye,15.406,15.406,17.274,19.157,21.525,22.952,24.859,0,15.406
5,20260616_172836_419_landmarks.json,20260616_191451_834_landmarks.json,right_eye,18.184,18.184,19.945,21.717,23.943,25.284,27.076,0,18.184
5,20260616_172836_419_landmarks.json,20260616_191451_834_landmarks.json,nose_tip,11.056,11.056,11.056,11.056,11.056,11.056,11.056,0,11.056
5,20260616_172836_419_landmarks.json,20260616_191451_834_landmarks.json,mouth_left,22.242,22.242,22.538,22.837,23.212,23.439,23.744,0,22.242
5,20260616_172836_419_landmarks.json,20260616_191451_834_landmarks.json,mouth_right,17.94,17.94,18.157,18.378,18.659,18.83,19.061,0,17.94
5,20260616_172836_419_landmarks.json,20260616_191451_834_landmarks.json,mouth_center,11.881,11.881,12.165,12.471,12.881,13.14,13.501,0,11.881
5,20260616_172836_419_landmarks.json,20260616_191451_834_landmarks.json,chin,11.222,11.222,10.21,9.24,8.109,7.49,6.759,1,6.759
5,20260616_172836_419_landmarks.json,20260616_191451_834_landmarks.json,clothing_start,5.29,5.29,1.594,7.051,14.52,19.025,25.04,0.2,1.594
