pair_index,answer_json,test_json,point,raw_error,w0_error,w0.2_error,w0.4_error,w0.65_error,w0.8_error,w1_error,best_weight,best_error
0,20260616_172144_621_landmarks.json,20260616_201237_177_landmarks.json,left_eye,135.554,135.554,137.514,139.477,141.933,143.409,145.378,0,135.554
0,20260616_172144_621_landmarks.json,20260616_201237_177_landmarks.json,right_eye,133.608,133.608,135.49,137.373,139.728,141.142,143.028,0,133.608
0,20260616_172144_621_landmarks.json,20260616_201237_177_landmarks.json,nose_tip,117.182,117.182,117.182,117.182,117.182,117.182,117.182,0,117.182
0,20260616_172144_621_landmarks.json,20260616_201237_177_landmarks.json,mouth_left,140.447,140.447,140.84,141.233,141.724,142.018,142.411,0,140.447
0,20260616_172144_621_landmarks.json,20260616_201237_177_landmarks.json,mouth_right,134.282,134.282,134.623,134.964,135.39,135.646,135.987,0,134.282
0,20260616_172144_621_landmarks.json,20260616_201237_177_landmarks.json,mouth_center,130.14,130.14,130.311,130.485,130.706,130.84,131.022,0,130.14
0,20260616_172144_621_landmarks.json,20260616_201237_177_landmarks.json,chin,136.105,136.105,137.313,138.522,140.034,140.942,142.153,0,136.105
0,20260616_172144_621_landmarks.json,20260616_201237_177_landmarks.json,clothing_start,80.789,80.789,74.468,68.15,60.261,55.532,49.235,1,49.235
1,20260616_174347_104_landmarks.json,20260616_201049_086_landmarks.json,left_eye,21.82,21.82,22.99,24.296,26.088,27.234,28.834,0,21.82
1,20260616_174347_104_landmarks.json,20260616_201049_086_landmarks.json,right_eye,16.885,16.885,18.871,20.865,23.366,24.871,26.88,0,16.885
1,20260616_174347_104_landmarks.json,20260616_201049_086_landmarks.json,nose_tip,7.286,7.286,7.286,7.286,7.286,7.286,7.286,0,7.286
1,20260616_174347_104_landmarks.json,20260616_201049_086_landmarks.json,mouth_left,42.275,42.275,42.622,42.969,43.405,43.668,44.019,0,42.275
1,20260616_174347_104_landmarks.json,20260616_201049_086_landmarks.json,mouth_right,34.975,34.975,35.288,35.602,35.997,36.235,36.553,0,34.975
1,20260616_174347_104_landmarks.json,20260616_201049_086_landmarks.json,mouth_center,30.638,30.638,30.646,30.669,30.716,30.755,30.82,0,30.638
1,20260616_174347_104_landmarks.json,20260616_201049_086_landmarks.json,chin,104.598,104.598,105.827,107.059,108.601,109.528,110.766,0,104.598
1,20260616_174347_104_landmarks.json,20260616_201049_086_landmarks.json,clothing_start,340.853,340.853,334.168,327.482,319.127,314.114,307.43,1,307.43
2,20260616_174405_418_landmarks.json,20260616_201035_250_landmarks.json,left_eye,11.054,11.054,12.214,13.539,15.361,16.519,18.12,0,11.054
